year,variableA,variableB,variableC,variableD,variableE,variableF
2017-07-07,40.9719,53.88918,45.57987,36.36393,58.12414,49.65421
2017-07-08,40.9719,53.88918,45.57987,36.36393,58.12414,49.65421
2017-07-09,40.9719,53.88918,45.57987,36.36393,58.12414,49.65421
2017-07-10,40.97753,53.88207,45.67814,36.27691,58.17496,49.58917
2017-07-11,41.28938,53.67112,45.78644,36.79231,57.71157,49.63067
2017-07-12,41.33458,53.47686,45.81248,36.85669,57.61976,49.33395
2017-07-13,41.25047,53.57362,45.71526,36.78569,57.79064,49.35661
2017-07-14,41.46821,53.40542,45.88934,37.04708,57.68714,49.12371
2017-07-15,41.46784,53.40601,45.88824,37.04744,57.68776,49.12427
2017-07-16,40.88952,54.01481,45.42131,36.35773,58.23363,49.79599
2017-07-17,40.74656,53.64394,45.23213,36.26099,57.86213,49.42576
2017-07-18,40.80437,53.83469,45.08408,36.52465,57.90987,49.75951
2017-07-19,40.23778,54.35539,44.30059,36.17496,58.35008,50.36069
2017-07-20,40.24314,54.3571,44.31455,36.17173,58.34778,50.36642
2017-07-21,39.92391,54.90389,43.88772,35.9601,58.95335,50.85444
2017-07-22,39.92391,54.90389,43.88772,35.9601,58.95335,50.85444
2017-07-23,39.92391,54.90389,43.88772,35.9601,58.95335,50.85444
2017-07-24,40.00105,54.82607,44.01979,35.98231,58.90247,50.74966
2017-07-25,40.00367,54.72099,43.97943,36.02792,58.9141,50.52788
2017-07-26,40.10891,54.68523,44.02824,36.18957,58.83035,50.54011
2017-07-27,39.90546,54.90348,43.82129,35.98964,59.19101,50.61594
2017-07-28,38.97818,56.00404,42.95424,35.00211,60.43024,51.57784
2017-07-29,38.97818,56.00404,42.95424,35.00211,60.43024,51.57784
2017-07-30,38.97818,56.00404,42.95424,35.00211,60.43024,51.57784
2017-07-31,38.83294,56.40698,42.89334,34.77254,60.92976,51.8842
2017-08-01,38.21495,57.22556,42.30776,34.12214,61.76926,52.68185
2017-08-02,37.31966,57.76991,42.09148,32.54784,62.49352,53.0463
2017-08-03,37.2991,57.72597,42.04794,32.55027,62.39594,53.05601
2017-08-04,37.27709,57.64736,41.97725,32.57693,62.24009,53.05463
2017-08-05,37.27709,57.64736,41.97725,32.57693,62.24009,53.05463
2017-08-06,37.39128,57.57107,42.04111,32.74145,62.10695,53.03519
2017-08-07,37.74126,57.28339,42.37014,33.11238,61.7383,52.82848
2017-08-08,38.25177,56.82254,43.0317,33.47185,61.65517,51.98991
2017-08-09,38.39414,56.41191,42.98488,33.8034,61.11378,51.71004
2017-08-10,38.53228,56.22918,43.21464,33.84991,60.97047,51.4879
2017-08-11,39.34763,54.87801,43.80651,34.88874,59.37757,50.37844
2017-08-12,39.34763,54.87801,43.80651,34.88874,59.37757,50.37844
2017-08-13,39.34763,54.87801,43.80651,34.88874,59.37757,50.37844
2017-08-14,39.25485,54.94202,43.69183,34.81787,59.42392,50.46012
2017-08-15,39.32666,54.21491,43.66765,34.98568,58.96895,49.46087
2017-08-16,39.79543,53.64213,44.18729,35.40357,58.44459,48.83966
2017-08-17,40.14403,53.8097,44.42183,35.86623,58.50616,49.11323
2017-08-18,39.6217,54.81041,44.07013,35.17327,59.58671,50.0341
2017-08-19,39.6217,54.81041,44.07013,35.17327,59.58671,50.0341
2017-08-20,39.6217,54.81041,44.07013,35.17327,59.58671,50.0341
2017-08-21,39.59126,54.82199,44.05444,35.12809,59.6122,50.03179
2017-08-22,39.12299,55.47832,43.45678,34.7892,60.18941,50.76723
2017-08-23,38.47126,55.76075,42.75419,34.18832,60.32465,51.19686
2017-08-24,38.61401,55.61862,42.91553,34.3125,60.15855,51.07868
2017-08-25,38.49583,56.11722,42.78054,34.21112,60.57177,51.66267
2017-08-26,38.49583,56.11722,42.78054,34.21112,60.57177,51.66267
2017-08-27,38.49583,56.11722,42.78054,34.21112,60.57177,51.66267
2017-08-28,38.49717,56.13604,42.82244,34.17189,60.62732,51.64477
2017-08-29,38.09775,56.34618,42.42518,33.77031,60.81544,51.87691
2017-08-30,38.63689,56.25348,42.70835,34.56542,60.45604,52.05091
2017-08-31,38.60115,56.26993,42.67866,34.52364,60.48548,52.05437
2017-09-01,38.72445,56.20359,42.70963,34.73928,60.30949,52.0977
2017-09-02,38.72445,56.20359,42.70963,34.73928,60.30949,52.0977
2017-09-03,38.72445,56.20359,42.70963,34.73928,60.30949,52.0977
2017-09-04,38.7773,56.08899,42.84619,34.7084,60.20845,51.96954
2017-09-05,39.3034,55.7341,43.36219,35.24461,59.87082,51.59739
2017-09-06,39.78395,55.35294,43.91262,35.65529,59.48346,51.22242
2017-09-07,39.82632,55.34008,44.01718,35.63547,59.46281,51.21735
2017-09-08,40.44044,54.6344,44.67823,36.20266,58.66391,50.60488
2017-09-09,40.44044,54.6344,44.67823,36.20266,58.66391,50.60488
2017-09-10,40.44044,54.6344,44.67823,36.20266,58.66391,50.60488
2017-09-11,40.31529,54.72517,44.53437,36.0962,58.75313,50.69721
2017-09-12,39.55527,55.24317,43.89106,35.21949,59.35269,51.13366
2017-09-13,39.74465,54.93554,43.87717,35.61213,59.13334,50.73774
2017-09-14,40.09134,54.549,44.2555,35.92719,58.8194,50.27859
2017-09-15,40.4518,53.72972,44.50467,36.39894,58.343,49.11645
2017-09-16,40.4518,53.72972,44.50467,36.39894,58.343,49.11645
2017-09-17,40.4518,53.72972,44.50467,36.39894,58.343,49.11645
2017-09-18,40.48919,53.73187,44.62699,36.3514,58.4045,49.05925
2017-09-19,40.38954,53.92811,44.33314,36.44594,58.47723,49.37899
2017-09-20,40.86275,52.65388,44.56312,37.16238,57.55666,47.75111
2017-09-21,40.87155,52.63753,44.5826,37.16049,57.53896,47.73609
2017-09-22,41.25188,52.82355,45.12013,37.38363,57.54034,48.10677
2017-09-23,41.25188,52.82355,45.12013,37.38363,57.54034,48.10677
2017-09-24,41.49499,52.96284,45.2257,37.76428,57.49514,48.43055
2017-09-25,41.57793,53.08458,45.39066,37.76519,57.52617,48.64299
2017-09-26,41.01126,53.54343,44.83744,37.18507,57.98804,49.09881
2017-09-27,40.31173,54.26196,44.53713,36.08633,58.49226,50.03165
2017-09-28,40.31269,54.41755,44.47203,36.15335,58.54889,50.2862
2017-09-29,40.34256,54.64625,44.37914,36.30598,58.72469,50.56781
2017-09-30,40.34256,54.64625,44.37914,36.30598,58.72469,50.56781
2017-10-01,40.34256,54.64625,44.37914,36.30598,58.72469,50.56781
2017-10-02,40.15312,54.81033,44.17437,36.13186,58.93735,50.68331
2017-10-03,40.37353,54.85959,44.35439,36.39267,58.99095,50.72824
2017-10-04,40.7621,54.79143,44.79243,36.73178,58.75761,50.82524
2017-10-05,40.60885,54.87642,44.77727,36.44043,58.74704,51.0058
2017-10-06,40.17117,55.22769,44.48967,35.85266,59.33171,51.12367
2017-10-07,40.17117,55.22769,44.48967,35.85266,59.33171,51.12367
2017-10-08,40.17117,55.22769,44.48967,35.85266,59.33171,51.12367
2017-10-09,40.09864,55.25847,44.44193,35.75536,59.37949,51.13745
2017-10-10,40.01473,55.25956,44.3416,35.68786,59.37972,51.1394
2017-10-11,40.12806,54.69553,44.28343,35.97269,58.60228,50.78879
2017-10-12,40.22272,54.57459,44.41026,36.03518,58.44459,50.70459
2017-10-13,39.6197,55.18693,43.8368,35.4026,59.32934,51.04452
